hSNCode,itemName,gST,rate
1604.12.00,Herrings (prepared or preserved),12%,377
1604.13.00,"Sardines, sardinella, brisling, sprats (prepared or preserved)",12%,285
1604.14.00,"Tunas, skipjack and bonito (sarda spp.) (prepared or preserved)",12%,274
1604.15.00,Mackerel (prepared or preserved),12%,333
1604.16.00,Anchovies (prepared or preserved),12%,468
1604.19.00,Prepared or preserved other fish,12%,212
1604.20.00,Other prepared or preserved fish (excluding whole or in pieces),12%,399
1604.30.00,"Caviar, caviar substitutes prepared from fish eggs",12%,269
1605.00.00,"Crustaceans, molluscs and other auatic invertebrates preapred or preserved",12%,188
1605.10.00,Crab (preserved or prepared),12%,225
1605.20.00,Shrimps and prawns (prepared or preserved),12%,332
1605.30.00,Lobster (prepared or preserved,12%,394
1605.40.00,Other crustaceans (prepared or preserved),12%,459
1605.90.00,"Prepared or preserved molluscs, other aquatic invertebrates",12%,329
1701.00.00,"Beet sugar, cane suggar, khandsari sugar",5%,87
1701.00.00,"Refined sugar containing added flavouring or colouring matter, sugar cubes",18%,352
1701.11.00,Cane sugar (raw sugar not added flavouring or coloring matter),5%,134
1701.11.20,Khandasari Sugar,5%,84
1701.12.00,Beet sugar (raw sugar not added flavouring or coloring matter),5%,19
1701.91.00,"Cane or beet sugar, chemically pure sucrose(added flavouring or coloring matter)",18%,65
1701.99.00,"Other cane or beet sugar, chemically pure sucrose",5%,482
1701.99.10,Sugar Cubes,18%,45
1702.00.00,Pallmyra sugar,5%,472
1702.00.00,"All goods falling under 1702 [Lactose, maple syrup, glucose, dextrose, fructose, invert sugar, artificial honey etc.,] other than palmyra sugar",18%,135
1702.10.00,"Lactose, lactose syrup",18%,310
1702.20.00,"Maple sugar, maple syrup",18%,420
1702.30.00,"Glucose, glucose syrup (fructose content in dry state less than 20%)",18%,299
1702.30.10,"Glucose, liquid",18%,185
1702.30.20,"Glucose, solid",18%,60
1702.30.31,"Dextrose not contining fructose or containing in the dry state atleast 20% but less than 50% by wight of fructose, excluding invert sugar - Dextrose in solid form",18%,360
1702.30.31,Dextrose not contining fructose or containing in the dry state less than 20% by wight of fructose - Dextrose in solid form,18%,263
1702.30.39,Dextrose not contining fructose or containing in the dry state less than 20% by wight of fructose - other,18%,171
1702.30.39,Dextrose not contining fructose or containing in the dry state less than 20% by wight of fructose - other,18%,487
1702.40.00,"Glucose, glucose syrup (fructose content in dry state 20-50%)",18%,143
1702.40.10,"Glucose, liquid",18%,16
1702.40.20,"Glucose, solid",18%,288
1702.50.00,Chemically pure fructose,18%,214
1702.60.00,"Fructose, fructose syrup(fructose content in dry state more than 50%)170290 other sugars (including invert sugar)",18%,393
1702.90.10,Palmyra Sugar,5%,136
1703.00.00,Molasses resulting from the extraction or refining of sugar,28%,352
1703.10.00,Cane molasses,28%,20
1703.90.00,Molasses (excluding cane molasses),28%,282
1703.90.10,Molasses (edible),28%,159
1704.00.00,Sugar confection (including white chocolate and bubble/chewing gum).,18%,94
1704.00.00,Chewing gum/bubble gum and white chocolate not containing cocoa,28%,145
1704.10.00,Chewing gum,28%,96
1704.90.00,"Other sugar confectionery, not containing cocoa: white chocolate",28%,136
1704.90.10,Jelly confectionary,18%,157
1704.90.20,"Boiled sweets, whether or not filled",18%,290
1704.90.30,"Toffees, caramels and similar sweets",18%,407
1801.00.00,"Cocoa beans, whole or broken, raw or roasted",5%,450
1802 .00.00,"Cocoa shells, husks, skins and other cocoa waste",5%,140
1803.00.00,"Cocoa paste, whether or not defatted",5%,172
1803.10.00,Cocoa paste (not defatted),5%,17
1803.20.00,Cocoa paste (wholly or partly defatted),5%,22
1804.00.00,"Cocoa butter,fat and oil",28%,425
1805.00.00,"Cocoa powder, not containing added sugar or other sweetening matter",28%,154
1806.00.00,Chocolate & other food preparations containing cocoa,28%,266
1806.10.00,Cocoa powder (containing added sugar or other sweetening matter),28%,26
1806.20.00,Other preparations,28%,116
1806.31.00,"Food preparations containing cocoa (in block, slab, bar form; filled)",28%,476
1806.32.00,"Food preparations containing cocoa (in block, slab, bar form; not filled)",28%,234
1806.90.00,"Cocoa preparations (in containers, packings, in liquid, powder, granular form)",28%,382
1806.90.10,Chocolate & chocolate products,28%,321
1806.90.20,Sugar confectionery containing cocoa,28%,16
1806.90.30,Spreads containing cocoa,28%,325
1806.90.40,Preparations ontaining cocoa for making beverages,28%,105
1806.90.90,"Cocoa preparations (in containers, packings, in liquid, powder, granular form): Other",28%,157
1900.00.00,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally deffatted basis not elsewhere specified or included, other than preparations for infant use put up for retail sale and mixes and doughs for the preparation of baker's wares",28%,312
1901.00.00,"Preparations for infant use, put up for retail sale",18%,204
1901.00.00,"Mixes and doughs for preparation of bread, pastry and other baker's wares",5%,479
1902.00.00,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.",18%,278
1902.00.00,Seviyan (vermicelli),5%,266
1902.11.00,Pasta (uncooked; containing eggs),18%,27
1902.19.00,Pasta (uncooked; not containing eggs),18%,152
1902.20.00,Stuffed pasta,18%,409
1902.30.00,Other pasta,18%,12
1902.40.00,Couscous,18%,423
1903.00.00,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms. (sabudana)",5%,398
1904.10.00,"Corn flakes, bulgar wheat, prepared foods obtained from cerealflakes",18%,313
1904.10.10,Corn flakes,18%,439
1904.90.00,Prepared cereals in grain form (other than corm),18%,214
1905.32.00,Waffles and wafers other than coated with chocolate or containing chocolate,18%,194
1905.32.00,Waffles and wafers coated with chocolate,28%,355
1905.40.00,"Rusks, toasted bread, similar toasted products",5%,168
1905.90.10,Pastries and cakes,18%,369
2001.00.00,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid",18%,218
2001.10.00,Cucumbers and gherkins (prepared or preserved by vinegar acetic acid)200120 onions (prepared or preserved by vinegar or acetic acid),18%,265
2001.90.00,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid: Other",18%,78
2002.00.00,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,18%,268
2002.10.00,"Tomatoes, whole or in pieces (prepared or preserved; excluding by vinegar)",18%,41
2002.90.00,"Other tomatoes, prepared or preserved (other than by vinegar, acetic acid)",18%,2
2003.00.00,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",18%,85
2003.10.00,"Mushrooms of the genus Agaricus (prepared or preserved; other than by vinegar, acetic acid)",18%,392
2003.20.00,"Truffles (prepared or preserved; other than by vinegar, acetic acid)",18%,14
2003.90.00,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid-other---other",18%,97
2004.00.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 2006 .",18%,427
2004.10.00,"Potatoes (prepared or preserved; other than by vinegar, acetic acid)",18%,168
2004.90.00,Other vegetables and mixtures of vegetable (prepared or preserved; frozen),18%,318
2005.00.00,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 2006",18%,128
2005.10.00,"Homogenised vegetables, prepared or preserved (excluding by vinegar)",18%,137
2005.20.00,"Potatoes, prepared or preserved (excluding by vinegar or acetic acid; not frozen)",18%,265
2005.30.00,"Sauerkraut, prepared or preserved (excluding by vinegar; not frozen)",18%,160
2005.40.00,"Peas, prepared or preserved (excluding by vinegar, acetic acid, not frozen)",18%,62
2005.40.00,"Peas, prepared or preserved (excluding by vinegar, acetic acid, not frozen)",18%,164
2005.51.00,"Shelled beans, prepared or preserved (excluding by vinegar; not frozen)",18%,272
2005.59.00,"Other beans, prepared or preserved (excluding by vinegar; not frozen)",18%,312
2005.59.00,"Other beans, prepared or preserved (excluding by vinegar; not frozen)",18%,458
2005.60.00,"Asparagus, prepared or preserved",18%,358
2005.70.00,"Olives, prepared or preserved (excluding by acetic acid; not frozen)",18%,308
2005.70.00,"Olives, prepared or preserved (excluding by acetic acid; not frozen)",18%,20
2005.80.00,"Sweet corn, prepared or preserved (excluding by acetic acid; not frozen)",18%,132
2005.90.00,"Other vegetables and mistures of vegetables, prepared or preserved (excluding by vinegar; not frozen)",18%,72
2005.91.00,"Bamboo shoots, prepared or preserved (excluding by acetic acid; not frozen)",18%,267
2006.00.00,"Vegetables, fruits, nuts, fruit-peel and other parts of plants, preserved by sugar(drained, glace or Crystallised)",18%,295
2007.00.00,"Jams, fruit jellies, marmalades, fruit ornut puree and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter .",18%,229
2007.10.00,"Homogenised preparations of Jams, fruit jellies, marmalades, fruit ornut puree and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter .",18%,174
2007.91.00,"Jams, fruit jellies, marmalades, puree, paste of citrus fruit",18%,56
2007.99.00,"Jams, jellies, puree, paste of fruit (other than citrus fruit), nuts",18%,207
2008.00.00,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included ; such as ground - nuts Cashew nut, roated, salted or roated and salted , other roasted nuts and seeds, squash of Mango, Lemon, Orange, Pineapple or other fruits.",18%,216
2008.11.00,Ground-nuts (prepared or preserved),18%,94
2008.19.00,"Other nuts, seeds (prepared or preserved; including mixtures)",18%,352
2008.19.10,"Cashew nut, roasted, saltdd or roasted and salted",18%,65
2008.19.20,Other roasted nuts and seeds,18%,235
2008.19.30,"Other nuts, otherwise rpepared or preserved",18%,321
2008.19.40,Other roasted and fried vegetable products,18%,123
2008.20.00,Pineapples (otherwise prepared or preserved),18%,264
2008.30.00,Citrus fruit (otherwise prepared or preserved),18%,340
2008.40.00,Pears (otherwise prepared or preserved),18%,417
2008.50.00,Apricots (otherwise prepared or preserved),18%,335
2008.60.00,Cherries (otherwise prepared or preserved),18%,124
2008.70.00,Peaches (otherwise prepared or preserved),18%,85
2008.80.00,Strawberries (otherwise prepared or preserved),18%,147
2008.91.00,Palm hearts (otherwise prepared or preserved),18%,500
2008.92.00,"Mixtures of fruit, nuts (otherwise prepared or preserved)",18%,215
2008.99.00,"Other fruit, nuts, edible parts of plants (otherwise prepared, preserved)",18%,70
2009.00.00,"Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or othersweetening matter.",12%,302
2009.11.00,Orange juice (frozen),12%,476
2009.19.00,Orange juice (other than frozen),12%,496
2009.20.00,Grapefruit juice,12%,10
2009.30.00,Juice of any other single citrus fruit,12%,63
2009.40.00,Pineapple juice,12%,161
2009.50.00,Tomato juice,12%,54
2009.60.00,Grape juice (including grape must),12%,70
2009.70.00,Apple juice,12%,29
2009.80.00,Juice of any other single fruit or vegetable,12%,495
2009.90.00,"Mixtures of juice (of fruit, vegetable)",12%,322
2101.00.00,"Extracts, essences and concentrates, of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee (i.e. instant coffee, coffee aroma etc)",28%,191
2101.20.00,"Extracts, essences and concentrates, of toa or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate (i.e. instant tea, quick black tea, tea aroma, etc.)",18%,98
2101.10.00,"Extracts, essences, concentrates of coffee, thereof preparations",28%,496
2101.11.10,"Instant coffee, flavoured",28%,402
2101.11.20,Instant Coffee,28%,350
2101.11.20,"Instant coffee, not flavoured",28%,434
2101.11.30,Coffee aroma,28%,321
2101.20.00,"Extracts, essences, concentrates of tea or mate, thereof preparations",18%,21
2101.20.10,Instant tea,18%,208
2101.20.20,Quick brewing black tea,18%,85
2101.20.30,Tea aroma,18%,181
2101.30.00,Roasted chicory,12%,133
2101.30.00,Roasted coffee substitutes,12%,346
2101.30.00,"Roasted chicory & other coffee substitutes & extracts, essences & concentrates thereof",12%,169
2102.00.00,Yeasts and prepared baking powders.,12%,275
2102.10.00,Active yeasts,12%,385
2102.10.10,Culture yeast,12%,329
2102.10.20,Baker's yeast,12%,161
2102.10.90,Other (yeast),12%,241
2102.20.00,"Inactive yeasts, other single-cell micro-organisms (dead)",12%,446
2102.30.00,Prepared baking powders,12%,126
2103.00.00,Sauces and preparations therefor.,18%,399
2103.00.00,"Mixedcondiments and mixed seasonings;mustard flour and meal and prepared mustard, other sauces and preparations therefor.",28%,490
2103.10.00,Soya sauce,18%,144
2103.20.00,"Tomato ketchup, other tomato sauces",18%,479
2103.30.00,"Mustard flour, meal, prepared mustard",28%,388
2103.90.00,"Other sauces and preparations therefor,mixed condiments, mixed seasoning",28%,190
2103.90.10,"Paste of onion, ginger or garlic and similar other paste and combination thereof including curry paste whether or not sold in sealed container",28%,460
2103.90.20,Chilli sauce,12%,122
2103.90.30,Mayonnaise and salad dressings,28%,309
2103.90.40,Mixed condiments and mixed seasoning,28%,14
2104.00.00,Soups and broths and preparations therefor; homogenised composite food preparations.,18%,133
2104.10.10,Soups and broths and preparations therefor: Dried,18%,372
